target_id,human_symbol,status,mapping_ambiguous,mouse_symbols,mgi_accession_ids,phenotyping_data_available,distinct_significant_mp_terms_sum,successful_statistical_results,distinct_tested_parameters_max,distinct_tested_procedures_max,homozygous_tested_procedures,eligible_observed_zero,impc_release,release_date
1913,CYP11B1,mapped_no_phenotyping,True,Cyp11b1|Cyp11b2,MGI:88583|MGI:88584,False,0,0,0,0,0,False,DR24,2026-03-16
1400,CYP11B2,mapped_no_phenotyping,True,Cyp11b1|Cyp11b2,MGI:88583|MGI:88584,False,0,0,0,0,0,False,DR24,2026-03-16
2578,CYP3A4,phenotyped_no_significant_phenotype,True,Cyp3a11|Cyp3a13|Cyp3a16|Cyp3a25|Cyp3a41a|Cyp3a44,MGI:106099|MGI:1858451|MGI:1930638|MGI:2449818|MGI:88609|MGI:88610,True,0,244,162,13,13,False,DR24,2026-03-16
438,CYP46A1,mapped_no_phenotyping,False,Cyp46a1,MGI:1341877,False,0,0,0,0,0,False,DR24,2026-03-16
22883,CYP51A1,mapped_no_phenotyping,False,Cyp51,MGI:106040,False,0,0,0,0,0,False,DR24,2026-03-16
5242,CYP8B1,mapped_no_phenotyping,False,Cyp8b1,MGI:1338044,False,0,0,0,0,0,False,DR24,2026-03-16
6254,DAO,mapped_no_phenotyping,False,Dao,MGI:94859,False,0,0,0,0,0,False,DR24,2026-03-16
4660,DCP1B,phenotyped_no_significant_phenotype,False,Dcp1b,MGI:2442404,True,0,150,150,16,16,True,DR24,2026-03-16
4104,DCTN3,mapped_no_phenotyping,False,Dctn3,MGI:1859251,False,0,0,0,0,0,False,DR24,2026-03-16
4337,DECR1,mapped_no_phenotyping,False,Decr1,MGI:1914710,False,0,0,0,0,0,False,DR24,2026-03-16
2859,DGAT2,mapped_no_phenotyping,False,Dgat2,MGI:1915050,False,0,0,0,0,0,False,DR24,2026-03-16
446,DHX36,mapped_no_phenotyping,False,Dhx36,MGI:1919412,False,0,0,0,0,0,False,DR24,2026-03-16
17897,DLL3,mapped_no_phenotyping,False,Dll3,MGI:1096877,False,0,0,0,0,0,False,DR24,2026-03-16
2790,DLL4,mapped_no_phenotyping,False,Dll4,MGI:1859388,False,0,0,0,0,0,False,DR24,2026-03-16
2616,DNMT1,mapped_no_phenotyping,False,Dnmt1,MGI:94912,False,0,0,0,0,0,False,DR24,2026-03-16
17379,DPYSL5,mapped_no_phenotyping,False,Dpysl5,MGI:1929772,False,0,0,0,0,0,False,DR24,2026-03-16
6509,DRD1,mapped_no_phenotyping,False,Drd1,MGI:99578,False,0,0,0,0,0,False,DR24,2026-03-16
2129,DRD2,mapped_no_phenotyping,False,Drd2,MGI:94924,False,0,0,0,0,0,False,DR24,2026-03-16
4419,DRD4,mapped_no_phenotyping,False,Drd4,MGI:94926,False,0,0,0,0,0,False,DR24,2026-03-16
2437,DSP-AS1,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
370,DUSP6,mapped_no_phenotyping,False,Dusp6,MGI:1914853,False,0,0,0,0,0,False,DR24,2026-03-16
23516,DXO,mapped_no_phenotyping,False,Dxo,MGI:1890444,False,0,0,0,0,0,False,DR24,2026-03-16
658,DYNC2LI1,mapped_no_phenotyping,False,Dync2li1,MGI:1913996,False,0,0,0,0,0,False,DR24,2026-03-16
3738,EDNRB,mapped_no_phenotyping,False,Ednrb,MGI:102720,False,0,0,0,0,0,False,DR24,2026-03-16
4188,EGLN1,mapped_no_phenotyping,False,Egln1,MGI:1932286,False,0,0,0,0,0,False,DR24,2026-03-16
1725,EPHX2,mapped_no_phenotyping,False,Ephx2,MGI:99500,False,0,0,0,0,0,False,DR24,2026-03-16
1140,EPOR,mapped_no_phenotyping,False,Epor,MGI:95408,False,0,0,0,0,0,False,DR24,2026-03-16
3299,ERBB3,mapped_no_phenotyping,False,Erbb3,MGI:95411,False,0,0,0,0,0,False,DR24,2026-03-16
346,ERBB4,mapped_no_phenotyping,False,Erbb4,MGI:104771,False,0,0,0,0,0,False,DR24,2026-03-16
3601,ERN1,mapped_no_phenotyping,False,Ern1,MGI:1930134,False,0,0,0,0,0,False,DR24,2026-03-16
27973,ESAM-AS1,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
670,ESR1,mapped_no_phenotyping,False,Esr1,MGI:1352467,False,0,0,0,0,0,False,DR24,2026-03-16
353,F11,mapped_no_phenotyping,False,F11,MGI:99481,False,0,0,0,0,0,False,DR24,2026-03-16
6637,F12,mapped_no_phenotyping,False,F12,MGI:1891012,False,0,0,0,0,0,False,DR24,2026-03-16
1395,F2RL3,mapped_no_phenotyping,False,F2rl3,MGI:1298207,False,0,0,0,0,0,False,DR24,2026-03-16
1904,F8,mapped_no_phenotyping,False,F8,MGI:88383,False,0,0,0,0,0,False,DR24,2026-03-16
349,F9,mapped_no_phenotyping,False,F9,MGI:88384,False,0,0,0,0,0,False,DR24,2026-03-16
3529,FASN,mapped_no_phenotyping,False,Fasn,MGI:95485,False,0,0,0,0,0,False,DR24,2026-03-16
